Code,Ethnicity
10432001,Onge
110751000000108,Indian or British Indian - ethnic category 2001 census
110781000000102,Sinhalese - ethnic category 2001 census
12556008,Tamils
1340002,Malays
154178009,Indian
154179001,Pakistani
154180003,Bangladeshi
154188005,E Afric Asian &/or Indo-Carib (NMO)
154189002,Indian sub-continent (NMO)
154190006,Other Asian (NMO)
154207008,Other Asian ethnic group
154223008,South East Asian
154225001,Indian
154226000,Other Asian
186001005,Indian (East Indian)
186002003,Pakistani
186003008,Bangladeshi
186011003,E Afric Asian &/or Indo-Carib (NMO)
186012005,Indian sub-continent (NMO)
186013000,Other Asian (NMO)
186030003,Other Asian ethnic group
186044009,South East Asian
186045005,Indian
186046006,Other Asian
20449009,Javanese
21993009,Indonesians
24812003,Mongol
26215007,South Asian Aborigine
2688009,Tristan da Cunhans
270465005,E Afric Asian/Indo-Carib (NMO)
275596000,East African Asian (NMO)
275597009,Indo-Caribbean (NMO)
27683006,Ainu
2852001,Bhutanese
28796001,Siamese
315280000,Asian - ethnic group
315281001,Other Asian ethnic group
32513008,Dyaks
40165009,Buriats
414551003,Japanese
414978006,Oriental
42632009,Andamanese
4299001,Marathas
44460002,Turks
46723002,Badagas
47250000,Bruneians
48679001,Bogobos
53195006,Kirghiz
57405008,Chenchu
63736003,Taiwanese
64483007,Indians (Hindi-speaking)
661741000000103,Other Asian
67165000,Lapps
704385002,Punjabi
704386001,Orang asli
704387005,Kadazan
704388000,Melanau
704389008,Murut
704390004,Bajau
704391000,Bidayuh
704392007,Iban
718131000000106,Nepali
76768002,Filipinos
81035008,Pakistani (Urduspeakers)
81283004,Todas
81846005,Naiars
83365001,Thais
83939006,Irula
86461000000107,Sri Lankan - ethnic category 2001 census
90348007,Ghashgai
91066000,Tatars
91191002,Oraons
92461000000105,Pakistani or British Pakistani - ethnic category 2001 census
92471000000103,Bangladeshi or British Bangladeshi - ethnic category 2001 census
92481000000101,Other Asian background - ethnic category 2001 census
92641000000107,Punjabi - ethnic category 2001 census
92651000000105,Kashmiri - ethnic category 2001 census
92661000000108,East African Asian - ethnic category 2001 census
92671000000101,Tamil - ethnic category 2001 census
92681000000104,British Asian - ethnic category 2001 census
92691000000102,Caribbean Asian - ethnic category 2001 census
92701000000102,Other Asian or Asian unspecified - ethnic category 2001 census
92751000000101,Vietnamese - ethnic category 2001 census
92761000000103,Japanese - ethnic category 2001 census
92771000000105,Filipino - ethnic category 2001 census
92781000000107,Malaysian - ethnic category 2001 census
976791000000107,Asian or Asian British: Indian - England and Wales ethnic category 2011 census
976811000000108,Asian or Asian British: Pakistani - England and Wales ethnic category 2011 census
976831000000100,Asian or Asian British: Bangladeshi - England and Wales ethnic category 2011 census
976871000000103,Asian or Asian British: any other Asian background - England and Wales ethnic category 2011 census
977591000000103,Asian or Asian British: Indian - Northern Ireland ethnic category 2011 census
977711000000100,Asian or Asian British: Pakistani - Northern Ireland ethnic category 2011 census
977731000000108,Asian or Asian British: Bangladeshi - Northern Ireland ethnic category 2011 census
977771000000105,Asian or Asian British: any other Asian background - Northern Ireland ethnic category 2011 census
978071000000106,"Asian or Asian Scottish or Asian British: Pakistani, Pakistani Scottish or Pakistani British - Scotland ethnic category 2011 census"
978111000000100,"Asian or Asian Scottish or Asian British: Indian, Indian Scottish or Indian British - Scotland ethnic category 2011 census"
978171000000105,"Asian or Asian Scottish or Asian British: Bangladeshi, Bangladeshi Scottish or Bangladeshi British - Scotland ethnic category 2011 census"
978211000000108,Asian or Asian Scottish or Asian British: any other Asian group - Scotland ethnic category 2011 census
977601000000109,Asian or Asian British: Indian - Northern Ireland ethnic category 2011 census
976801000000106,Asian or Asian British: Indian - England and Wales ethnic category 2011 census
976881000000101,Asian or Asian British: any other Asian background - England and Wales ethnic category 2011 census
976841000000109,Asian or Asian British: Bangladeshi - England and Wales ethnic category 2011 census
977781000000107,Asian or Asian British: any other Asian background - Northern Ireland ethnic category 2011 census
978081000000108,Asian or Asian Scottish or Asian British: Pakistani Pakistani Scottish or Pakistani British - Scotland ethnic category 2011 census
978121000000106,Asian or Asian Scottish or Asian British: Indian Indian Scottish or Indian British - Scotland ethnic category 2011 census
978221000000102,Asian or Asian Scottish or Asian British: any other Asian group - Scotland ethnic category 2011 census
976821000000102,Asian or Asian British: Pakistani - England and Wales ethnic category 2011 census
414481008,Indian (racial group)
977721000000106,Asian or Asian British: Pakistani - Northern Ireland ethnic category 2011 census
977741000000104,Asian or Asian British: Bangladeshi - Northern Ireland ethnic category 2011 census
978181000000107,Asian or Asian Scottish or Asian British: Bangladeshi Bangladeshi Scottish or Banagaldeshi British - Scotland ethnic category 2011 census
